brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
Lenovo,"₹67,190",Thin and Light Laptop,Cloud Grey,Yes,16 GB,LPDDR5,Yes,512 GB,No,Intel,Core i5,13420H,"Base Frequency 1.5 GHz, Max Turbo Boost at 3.8 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1200 Pixels,60,v5.1,1.46 kg,Yes,1 Yr Onsite Warranty + 1 Yr Premium Care
Infinix,"₹27,990",Thin and Light Laptop,Grey,No,8 GB,LPDDR4X,Yes,512 GB,No,Intel,Core i5,1035G1,Max Turbo Frequency up to 3.6 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,60,v5.1,1.76 kg,Yes,1 Year Onsite Warranty
ASUS,"₹52,990",Gaming Laptop,Graphite Black,No,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,11260H,"Base Frequency 2.9 GHz, Max Turbo Boost at 4.4 GHz",NVIDIA GeForce RTX 2050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,60,v5.3,2.30 kg,Yes,1 Year Carry-in Warranty
MSI,"₹44,990",Gaming Laptop,Black,No,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,11260H,Max Turbo Frequency up to 4.4GHz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60 Hz,v5.2,1.86 Kg,No,2 Year Carry-in Warranty
HP,"₹25,999",Business Laptop,Black,No,8 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 3 Dual Core,R3 3250,2.6GHz Upto 3.5GHz,AMD Radeon AMD,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1366 x 768 pixel,60,v4.0,1.74 Kg,No,1 Year Onsite warranty by OEM
ASUS,"₹47,990",Thin and Light Laptop,Cool Silver,Yes,16 GB,DDR4,Yes,512 GB,No,AMD,Ryzen 7 Octa Core,5800HS,3.2GHz Upto 4.4GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.70 kg,No,1 Year Onsite Warranty
Lenovo,"₹65,190",Thin and Light Laptop,Storm Grey,Yes,16 GB,LPDDR5,Yes,512 GB,No,Intel,Core i5,1240P,1.2 GHz to max turbo frequency at 4.4 Ghz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),2240 x 1400 Pixel,60,v5.1,1.35 Kg,Yes,1 Year Carry-in Warranty
ASUS,"₹22,999",Chromebook,Dark Grey,No,4 GB,LPDDR4,No,No,No,Intel,Celeron Dual Core,N4020,1.1 GHz upto max turbo frequency at 2.8 Ghz,Intel Integrated UHD,GDDR4,2 GB,Chrome,Yes,29.46 cm (11.6 inch),1366 x 768 Pixel,60,v 5.1,1.20 Kg,No,1 Year Onsite Warranty
CHUWI,"₹24,990",Laptop,Grey,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1005G1,1.2GHz,Intel Integrated Intel UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1200 pixel,60,5.2,1.40 kg,Yes,1 Year Onsite Warranty
ASUS,"₹66,990",Thin and Light Laptop,Neutral Grey,Yes,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,12500H,4.5,Intel Integrated Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),2880 x 1800 Pixels,60,v5.2,1.50 Kg,Yes,1 Year Onsite Warranty
MSI,"₹50,990",Gaming Laptop,Black,No,16 GB,DDR4,Yes,512 GB,No,Intel,Core i5,11260H,Max Turbo Frequency up to 4.4GHz,NVIDIA GeForce RTX 2050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60 Hz,v5.2,1.86 Kg,No,2 Year Carry-in Warranty
ASUS,"₹48,990",Gaming Laptop,Graphite Black,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,11260H,"Base Frequency 2.9 GHz, Max Turbo Boost at 4.4 GHz",NVIDIA GeForce RTX 2050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,144 Hz,v5.3,2.30 kg,Yes,1 Year Carry-in Warranty
MSI,"₹32,990",Thin and Light Laptop,Classic Black,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i5,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,No,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
MSI,"₹30,990",Thin and Light Laptop,Urban Silver,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
Lenovo,"₹31,999",Thin and Light Laptop,Iron Grey,No,8 GB,DDR4,Yes,512 GB,No,Intel,Core i3,1215U,0.9 GHz upto max turbo frequency at 4.40 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.7 Kg,No,1 Year Onsite Warranty
Infinix,"₹18,990",Thin and Light Laptop,Grey,No,4 GB,LPDDR4X,Yes,128 GB,No,Intel,Celeron Quad Core,N5100,Max Frequency up to 2.8 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.76 Kg,,1 Year Onsite Warranty
