brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
MSI,"₹1,13,990",Gaming Laptop,Black,No,16 GB,DDR5,Yes,1 TB,0,Intel,Core i7,12650H,3.2 GHz upto max turbo frequency at 4.7 Ghz,NVIDIA GeForce RTX 4060,GDDR6,8 GB,Windows 11 Home,No,43.94 cm (17.3 Inch),1920 x 1080 Pixel,144 Hz,v5.2,2.6 Kg,No,1 Year Onsite Warranty
ASUS,"₹32,990",Thin and Light Laptop,Silver,Yes,8 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 3 Quad Core,7320U,Base Frequency 2.4 GHz Upto Max Turbo Frequency at 4.1 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.81 cm (14.1 inch),1920 x 1080 Pixels,60,v5.3,1.38 kg,No,1 Year Onsite Warranty
HP,"₹30,990",Chromebook,Mica Silver,No,8 GB,LPDDR4X,Yes,256 GB,0,MediaTek,MediaTek Kompanio 1200,1200,Upto 2.6 GHz(2j),MediaTek Integrated Integrated,GDDR4,2 GB,Chrome,No,33.78 cm (13.3 Inch),1920 x 1080 Pixel,60,v5.0,1.49 Kg,Yes,1 Year Onsite Warranty
DELL,"₹40,990",Notebook,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1135G7,2.4 GHz upto max turbo frequency at 4.2 Ghz,Intel Integrated UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,Yes,1.48 Kg,No,1 Year Onsite Hardware Service
HP,"₹57,490",Gaming Laptop,Mica Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,5600H,Up to 4.2 GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,60,v5.2,2.37 kg,Yes,1 Year Onsite Warranty
Infinix,"₹43,990",Thin and Light Laptop,Blue,No,16 GB,LPDDR4X,Yes,512 GB,0,Intel,Core i5,1335U,1.3GHz Upto 4.6GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),1920 x 1200 Pixels,60,v5.2,1.78 kg,,1 Year Onsite Warranty
DELL,"₹83,990",2 in 1 Laptop,Platinum Silver,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i7,,,NVIDIA GeForce NVIDIA GeForce MX550 2GB DDR6,GDDR6,2 GB,Windows 11 Home,Yes,35.56 cm (14 inch),1920 * 1200 pixel,60,5.2,,Yes,12 Months
HP,"₹32,849",Notebook,Black,No,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Dual Core,3500U,2.1 GHz base clock,AMD Radeon AMD Radeon™ Graphics,DDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1366 X 768 pixel,60,v5.0,1.47 kg,No,1 year warranty
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
AXL,"₹16,970",Thin and Light Laptop,Space Grey,No,4 GB,DDR4,Yes,256 GB,0,Intel,Celeron Dual Core,,,Intel Integrated,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920*1080 pixel,60,yes,,No,1 Year
Acer,"₹32,490",Thin and Light Laptop,Steel Gray,No,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,,,Intel Integrated Intel,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 × 1080 pixel,60,5.0,,No,1 year
ASUS,"₹38,990",Thin and Light Laptop,Indie Black,Yes,8 GB,DDR4,Yes,256 GB,0,Intel,Core i3,1115G4,3.0 GHz Upto 4.1 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 10 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.0,1.80 kg,Yes,1 Year Onsite Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,0,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
Apple,"₹1,29,990",Thin and Light Laptop,Midnight,No,8 GB,Unified Memory,Yes,512 GB,0,Apple,M2,Apple M2 Chip,,NA,GDDR4,2 GB,Mac OS Monterey,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,60,v5.0,1.24 Kg,Yes,1 Year Limited Warranty
Lenovo,"₹28,990",Laptop,Silver Grey,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Octa Core,,,AMD Radeon AMD Radeon Series,DDR5,2 GB,Windows 11 Home,No,35.56 cm (14 inch),"1,920 x 1,080 pixels pixel",60,"YES, WIFI 6",,No,12 MONTHS
Acer,"₹54,999",Gaming Laptop,Charcoal Black,No,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,NVIDIA GeForce GTX 1650,DDR4,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60 Hz,v5.1,2.1 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹69,990",Laptop,Indie Black,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,Intel EVO I5-12500H,2.5 Ghz. Turbo Upto 4.5 Ghz.,Intel Integrated Intel Iris Xe,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1080x1920 pixel,60,YES,1.8 kg,Yes,1 Year Warranty
ZEBRONICS,"₹31,990",Thin and Light Laptop,Midnight Blue,No,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1235U,Max Turbo Frequency upto 4.4GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,60,v5.0,1.76 Kg,No,1 Year Carry-in Warranty
HP,"₹42,299",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,5500U,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v4.2,1.46 Kg,Yes,1 Year Onsite Warranty
DELL,"₹41,490",Business Laptop,Black,No,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,,,Intel Integrated Iris Xe Graphics,GDDR4,2 GB,Windows 10 Pro,No,35.56 cm (14 inch),1920 x 1080 pixel,60,v5.1,,No,3 year domestic
ASUS,"₹1,01,197",Laptop,Blue,Yes,16 GB,DDR5,Yes,512 GB,0,Intel,Core i7,,,MediaTek Integrated Iris Xe,DDR5,2 GB,Windows 11 Home,Yes,35.56 cm (14 inch),2880 x 1800 pixel,60,YES,,No,1 Year Warranty
Apple,"₹1,29,990",Thin and Light Laptop,Space Grey,No,8 GB,Unified Memory,Yes,512 GB,0,Apple,M2,Apple M2 Chip,,NA,GDDR4,2 GB,macOS Ventura,No,38.86 cm (15.3 Inch),2880 x 1864 Pixel,60,v5.3,1.51 Kg,Yes,1 Year Limited Warranty
Infinix,"₹36,990",Thin and Light Laptop,Blue,No,16 GB,LPDDR4X,Yes,1 TB,0,Intel,Core i5,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.1,1.24 Kg,,1 Year Onsite Warranty
Lenovo,"₹51,990",Thin and Light Laptop,Arctic Grey,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1235U,"1.3 GHz upto Max 4.4 GHz,",Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.63 Kg,No,2 Year warranty
Lenovo,"₹57,881",Gaming Laptop,Shadow Black,Yes,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,AMD R5-5600H,"Base Frequency 3.3 GHz, Max Turbo Boost at 4.2 GHz",NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,120 Hz,v5.0,2.25 kg,Yes,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection
ASUS,"₹85,550",Gaming Laptop,Eclipse Grey,No,16 GB,DDR4,Yes,1 TB,0,AMD,Ryzen 7 Octa Core,,,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,43.94 cm (17.3 inch),FHD (1920 x 1080 pixel,60,YES,,No,1 YEAR INTERNATIONAL
HP,"₹50,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,5625U,4.3,AMD Radeon Radeon Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixels,60,v5.2,1.41 Kg,Yes,1 Year Onsite Warranty
WINGS,"₹24,990",Thin and Light Laptop,Silver,No,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1125G4,2.00GHz with Turbo boost upto 3. 7GHz,Intel Integrated UHD,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1020 Pixel,60,Yes,1.60 Kg,No,1 Year Onsite Warranty
ASUS,"₹57,500",Laptop,Quiet Blue,Yes,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,R5-5600H,3.3 Ghz. Turbo Upto 4.2 Ghz.,AMD Radeon AMD RADEON,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),1920 x 1200 pixel,60,5.0,1.8 kg,Yes,1 Year Onsite Warranty
Lenovo,"₹69,990",Gaming Laptop,Onyx Grey,Yes,16 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 7 Octa Core,6800H,3.2 GHz upto max turbo frequency at 4.7 Ghz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,60,v5.1,2.32 Kg,No,1 Year Carry-in Warranty
Acer,"₹47,990",Thin and Light Laptop,Steel Grey,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i7,1165G7,Max Frequency Up to 4.7 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.1,1.59 Kg,No,1 Year Onsite warranty
HP,"₹75,990",Gaming Laptop,Mica Silver,Yes,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 7 Octa Core,5800H,3.2 GHz upto max turbo frequency at 4.4 GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,40.89 cm (16.1 inch),1920 x 1080 PIxel,60,v5.2,2.48 kg,Yes,1 Year Onsite Warranty
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,0,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
DELL,"₹43,990",Notebook,Accent Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1135G7,4.2,Intel Integrated Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixels,60,v5.0,1.59 Kg,No,1 Year Onsite Warranty
SAMSUNG,"₹60,990",Thin and Light Laptop,Graphite,Yes,8 GB,LPDDR4X,Yes,256 GB,0,Intel,Core i5,1235U,"1.3 GHz upto Max 4.4 GHz,",Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.57 kg,,1 Year Onsite Warranty
ASUS,"₹57,500",Laptop,Quiet Blue,Yes,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,R5-5600H,3.3 Ghz. Turbo Upto 4.2 Ghz.,AMD Radeon AMD RADEON,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),1920 x 1200 pixel,60,5.0,1.8 kg,Yes,1 Year Onsite Warranty
DELL,"₹33,989",Thin and Light Laptop,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1115G4,4.1,Intel Integrated Intel UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920x 1080$$Pixels pixel,60,v5.0,1.8 Kgs,No,1 Year Onsite Warranty
HP,"₹79,990",Thin and Light Laptop,Natural Silver,Yes,16 GB,LPDDR4X,Yes,512 GB,0,Intel,Core i5,1230U,Max Frequency Up to 2.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,Yes,85.8 cm (33.78 cm),1920 x 1200 Pixel,60,V5.2,1.32 Kg,No,1 Year Onsite Warranty
DELL,"₹1,03,600",Thin and Light Laptop,Sky,Yes,16 GB,DDR5,Yes,512 GB,0,Intel,Core i5,1230U,Max Frequency Up to 2.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.05 cm (13.8 Inch),1920 x 1080 Pixel,60,v5.2,,No,1 Year Onsite Warranty
ASUS,"₹31,990",Thin and Light Laptop,Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,,,Intel Integrated,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,60,YES,,No,1 Year International Warranty
HP,"₹48,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.0,1.69 Kg,Yes,1 Year Onsite Warranty
Lenovo,"₹32,999",Thin and Light Laptop,Mineral Grey,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Hexa Core,5300U,2.6 GHz with Turbo Boost Upto 3.8 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v 5.1,1.70 Kg,No,1 Year Onsite Warranty
HP,"₹81,999",2 in 1 Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,1 TB,0,Intel,Core i5,1335U,3.40GHz Upto 4.60GHz,Intel Integrated Integrated,GDDR4,2 GB,Windows 11 Home,Yes,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.3,1.41 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹67,990",Gaming Laptop,Indie Black,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,12450H,3.30GHz Upto 4.40GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,40.64 cm (16 Inch),1920 x 1200 Pixel,60 Hz,v5.3,1.80 Kg,Yes,1 Year Onsite Warranty
DELL,"₹29,890",Business Laptop,Black,No,8 GB,DDR4,Yes,256 GB,0,Intel,Core i3,,,Intel Integrated Iris Xe Graphics,GDDR4,2 GB,Ubuntu,No,35.56 cm (14 inch),1366 x 768 pixel,60,v5.1,,No,1 Year Domestic Warranty
DELL,"₹74,990",Thin and Light Laptop,Gold,Yes,16 GB,DDR3,Yes,512 GB,0,Intel,Core i7,8550U,1.8 GHz with Turbo Boost Upto 4 GHz,Intel Integrated UHD620,GDDR4,2 GB,Windows 10 Home,No,33.78 cm (13.3 inch),1920 x 1080 Pixel,60,v4.1,1.21 kg,No,1 Year Onsite Warranty
ASUS,"₹36,990",Thin and Light Laptop,Cool Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,N305,Max turbo frequency at 3.8 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.0,1.63 Kg,Yes,1 Year Onsite Warranty
Infinix,"₹52,990",Thin and Light Laptop,Blue,No,16 GB,LPDDR4X,Yes,512 GB,0,Intel,Core i7,1355U,1.6GHz Upto 4.7GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),1920 x 1200 Pixels,60,v5.2,1.78 kg,,1 Year Onsite Warranty
Lenovo,"₹54,990",Gaming Laptop,Shadow Black,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,11320H,2.50 GHz up to 4.50 GHz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 X 1080 Pixel,60,v5.1,2.25 Kg,No,1 Year Carry-in Warranty
HP,"₹48,999",Gaming Laptop,Mica Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,5600H,Up to 4.2 GHz,NVIDIA GeForce GTX 1650,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v5.2,2.37 kg,Yes,1 Year Onsite Warranty
Lenovo,"₹38,890",Laptop,Platinum Grey,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,5500U,2.1 GHz,AMD Radeon,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080$$Pixels pixel,60,YES,,No,1 YEAR
ASUS,"₹99,990",Gaming Laptop,Mecha Gray,No,16 GB,DDR4,Yes,512 GB,0,Intel,Core i7,12700H,2.3 GHz with Max Turbo Boost Frequency Up to 4.70 GHz,NVIDIA GeForce RTX 4060,GDDR6,8 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,v5.2,2.20 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹53,990",Laptop,Black,Yes,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7530U,2.0 Ghz. Turbo Upto 4.5 Ghz.,AMD Radeon,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,60,yes,1.7 kg,Yes,1 Year Domestic Warranty
Lenovo,"₹32,990",Thin and Light Laptop,Onyx Grey,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,,,Intel Integrated Integrated Intel® UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,60,YES,,No,1-year warranty
DELL,"₹48,470",Thin and Light Laptop,Carbon Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1235U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,Yes,1.48 Kg,No,1 Year Onsite Hardware Service
Infinix,"₹36,990",Thin and Light Laptop,Green,No,16 GB,LPDDR4X,Yes,1 TB,0,Intel,Core i5,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.1,1.24 Kg,,1 Year Onsite Warranty
GIGABYTE,"₹75,990",Gaming Laptop,Black,No,16 GB,DDR4,Yes,512 GB,0,Intel,Core i7,12650H,Max Turbo Frequency up to 4.7GHz,NVIDIA GeForce RTX 4050,GDDR6,6 GB,Windows 11 Home,No,38.1 cm (15 inch),1920 X 1080 Pixel,60,Yes,2.08 Kg,No,2 Year Carry-in Warranty
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,0,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
Lenovo,"₹75,990",Laptop,Cloud Grey,Yes,16 GB,LPDDR5X,Yes,1 TB,0,Intel,Core Ultra 5,125H,700 MHz upto max turbo frequency at 4.5 Ghz,Intel Integrated Arc,GDDR4,2 GB,Windows 11 Home,No,40.64 cm (16 inch),1920 x 1200 Pixel,60,v5.3,1.89 Kg,No,1 Year Carry-in Warranty
SAMSUNG,"₹79,990",Thin and Light Laptop,Silver,Yes,16 GB,LPDDR4X,Yes,512 GB,0,Intel,Core i5,1335U,Max Turbo Frequency up to 4.6 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,Yes,1.58 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹55,990",Laptop,Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i5,,,Intel Integrated intel hd,DDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,60,YES,,No,1 Year On Site Warranty
ASUS,"₹86,399",Gaming Laptop,Jaeger Gray,Yes,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 7 Octa Core,6800HS,3.2 GHz upto max turbo frequency at 4.7 Ghz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,43.94 cm (17.3 Inch),1920 x 1080 Pixel,60,v5.2,2.60 Kg,Yes,1 Year Onsite Warranty
HP,"₹71,990",Thin and Light Laptop,Natural Silver,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,1340p,3.70GHz Upto 4.60GHz,Intel Integrated Intel Iris Xe Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,60 Hz,v5.3,,Yes,1 Year Onsite Warranty
DELL,"₹35,390",Thin and Light Laptop,Platinum Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1115G4,4.1,Intel Integrated Intel UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920x 1080 pixel,60,v5.0,1.8 kg,No,1 Year Onsite Warranty
Apple,"₹1,69,900",Thin and Light Laptop,Space Grey,No,8 GB,Unified Memory,Yes,512 GB,0,Apple,M3,,,NA,GDDR4,2 GB,macOS Sonoma,No,35.56 cm (14 Inch),3024 x 1964 Pixels,60,v5.3,1.55 Kg,Yes,1 Year Limited Warranty
Lenovo,"₹28,990",Laptop,Silver Grey,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Octa Core,,,AMD Radeon AMD Radeon Series,DDR5,2 GB,Windows 11 Home,No,35.56 cm (14 inch),"1,920 x 1,080 pixels pixel",60,"YES, WIFI 6",,No,12 MONTHS
Acer,"₹45,990",Thin and Light Laptop,Black,No,16 GB,DDR4,Yes,512 GB,0,Intel,Core i7,1165G7,2.8 GHz with Turbo Boost Upto 4.7 GHz,Intel Integrated Iris Xe,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 X 1080 Pixel,60,v5.1,1.6 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹16,990",Chromebook,Transparent Silver,No,8 GB,LPDDR4X,No,0,0,Intel,Celeron Dual Core,N4500,1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz,Intel Integrated UHD,GDDR4,2 GB,Chrome,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.80 Kg,No,1 Year Onsite Warranty
ASUS,"₹84,500",Gaming Laptop,Volt Green,No,16 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 7 Octa Core,6800HS,4.7,NVIDIA GeForce RTX RTX 3050,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,144 Hz,v5.2,2.10 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹67,990",Gaming Laptop,Cool Silver,Yes,16 GB,DDR4,Yes,512 GB,0,Intel,Core i5,12450H,3.30GHz Upto 4.40GHz,NVIDIA GeForce RTX 3050,GDDR6,4 GB,Windows 11 Home,No,40.64 cm (16 Inch),1920 x 1200 Pixel,60 Hz,v5.3,1.80 Kg,Yes,1 Year Onsite Warranty
Lenovo,"₹26,490",Thin and Light Laptop,Cloud Grey,Yes,8 GB,DDR4,Yes,256 GB,0,Intel,Celeron Dual Core,N4020,Max Frequency Up to 2.8 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1366 x 768 Pixel,60,v5.0,1.3 Kg,No,1 Year Onsite�Warranty�+ 1 Yr ADP
ASUS,"₹1,49,990",Gaming Laptop,Mecha Gray,Yes,16 GB,DDR4,Yes,1 TB,0,Intel,Core i9,13900H,Max Turbo Frequency up to 5.4 GHz,NVIDIA GeForce RTX 4060,GDDR6,8 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,144 Hz,v5.2,2.20 Kg,Yes,1 Year Onsite Warranty
ASUS,"₹41,999",Thin and Light Laptop,Indie Black,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1115G4,Max Turbo Boost Upto 4.10 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 10 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.0,1.40 kg,Yes,1 Year Onsite Warranty
HP,"₹34,990",Business Laptop,Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1220U,3.2 GHZ,NA,DDR4,2 GB,Windows 11 Pro,No,35.56 cm (14 inch),1366X768 pixel,75 Hz,v5.1,1.75 kg,No,1 year Onsite Warrenty
Lenovo,"₹1,44,990",Gaming Laptop,Storm Grey,Yes,32 GB,DDR5,Yes,1 TB,0,Intel,Core i7,12700H,2.3 GHz with Max Turbo Boost Frequency Up to 4.70 GHz,NVIDIA GeForce RTX 3070,GDDR6,8 GB,Windows 11 Home,No,40.64 cm (16 Inch),2560 x 1600 Pixel,60,V5.1,2.49 Kg,Yes,3 Years Onsite Warranty + 1 Year Accidental Damage Protection + 3 Years Legion Ultimate Support
HP,"₹55,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1215U,up to 4.40 GHz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,Yes,39.62 cm (15.6 Inch),1920 x 1200 Pixel,60,v5.3,1.69 Kg,No,1 Year Onsite Warranty
