brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
ASUS,Thin and Light Laptop,1,8,512,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.7,0,1,35990.0,141.21199808219862,Intel Core i3
Infinix,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.24,0,1,34990.0,157.3505121487356,Intel Core i5
ASUS,Chromebook,0,8,0,0,Intel Integrated UHD,Chrome,0,60,1.8,0,1,16990.0,141.21199808219862,Intel Celeron Dual Core
Lenovo,Thin and Light Laptop,0,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,1,31999.0,141.21199808219862,Intel Core i3
CHUWI,Laptop,0,8,256,0,Intel Integrated UHD,Windows 11 Home,0,60,1.46,0,1,20990.0,156.23455106966654,Intel Celeron Quad Core
MSI,Thin and Light Laptop,0,16,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.4,1,1,33990.0,157.3505121487356,Intel Core i3
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.69,0,1,35790.0,141.21199808219862,Intel Core i3
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.69,0,1,49990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,16,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.7,0,1,47990.0,141.21199808219862,AMD Ryzen 7 Octa Core
Lenovo,Thin and Light Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.7,0,1,26999.0,141.21199808219862,AMD Ryzen 3 Hexa Core
HP,Gaming Laptop,1,16,512,0,NVIDIA GeForce RTX 3050,Windows 11 Home,0,60,2.37,1,1,65990.0,141.21199808219862,AMD Ryzen 7 Octa Core
Lenovo,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,2,30490.0,141.21199808219862,Intel Core i3
Lenovo,Thin and Light Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.7,0,1,34949.0,141.21199808219862,AMD Ryzen 5 Hexa Core
Acer,Thin and Light Laptop,0,16,1024,0,Intel Integrated UHD,Windows 11 Home,0,60,1.59,0,1,49990.0,141.21199808219862,Intel Core i5
ASUS,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.63,0,1,44990.0,141.21199808219862,AMD Ryzen 5 Quad Core
HP,Gaming Laptop,0,8,512,0,NVIDIA GeForce RTX 3050,Windows 11 Home,0,60,2.37,1,1,57990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
